Data Source	World Development Indicators					
Last Updated Date	1/3/2017					
						
MAC	"Macao SAR, China"	1484.326215	1487.300633	1573.857588	1626.738893	1673.837798
MKD	"Macedonia, FYR"	11742.8238	11639.36724	12257.54353	12645.71404	12992.24699
MDG	Madagascar	94468.136	117984.4608	117231.0406	117586.2177	117932.5971
MWI	Malawi	17735.299	15595.83036	21415.53718	21525.76166	21632.13209
MYS	Malaysia	256755.874	277979.4156	263676.106	271818.8368	279098.3768
MDV	Maldives	642.085684	645.2658161	684.0986305	706.8539881	727.1317874
MLI	Mali	86890.413	74104.2692	76827.88145	77134.18262	77437.93165
MLT	Malta	2125.54781	1977.41451	2053.759	2025.457333	1921.127748
MHL	Marshall Islands	7.31844938	7.54676704	7.80041439	7.878418534	7.956422678
MRT	Mauritania	11721.4539	11967.58315	12951.00656	13153.86092	13343.16263
MUS	Mauritius	3149.76195	3155.452392	3334.106795	3441.622042	3537.548711
MEX	Mexico	644167.96	648860.0791	643375.4336	652861.2915	663424.9544
FSM	"Micronesia, Fed. Sts."	40.114106	40.399419	40.624889	41.03113789	41.43738678
MDA	Moldova	11170.1713	11008.69078	11338.70777	11433.48689	11350.63
MNG	Mongolia	46513.8	50237.01589	24860.37811	25428.94764	25944.2552
MAR	Morocco	72650.847	72152.21062	76087.37885	78381.39979	80436.71521
MOZ	Mozambique	363780.5718	307176.2074	379823.5504	380073.2378	380308.2925
MMR	Myanmar	189004.373	266006.0323	325367.1391	526919.8385	528416.2177
NAM	Namibia	28595.4652	39971.70329	37647.5718	37855.65224	38049.27078
NRU	Nauru	4.21825037	4.291869356	4.433385343	4.505353797	4.57302008
NPL	Nepal	32026.569	32809.26219	32738.69186	33160.97137	40762.71529
NLD	Netherlands	205061.312	201884.4872	212418.455	200143.5444	195873.7639
NCL	New Caledonia	1500.73903	1494.785571	1568.028095	1616.70937	1660.248362
NZL	New Zealand	81442.9	76062.15021	76141.65783	75851.12224	78130.97988
NIC	Nicaragua	15791.953	15861.96823	15794.34981	16068.64121	16323.04343
NER	Niger	10491.4259	10530.92975	11219.50511	11342.11903	11460.91583
NGA	Nigeria	316058.63	273156.3631	292211.7354	296799.949	301010.1259
MNP	Northern Mariana Islands	11.3841499	11.79593055	12.24371151	12.36614863	12.48858574
NOR	Norway	71002.7568	65840.66369	65710.06421	64181.14776	63536.73207
OMN	Oman	55220.8011	55510.20569	59041.97958	60705.59131	62201.5508
PAK	Pakistan	338551.92	343244.2017	354528.6222	362475.0944	369734.5837
PLW	Palau	1.350926018	1.356220685	1.361525352	1.375140606	1.388755859
PAN	Panama	15082.5873	15489.51127	15428.76051	15860.45576	16248.77229
PNG	Papua New Guinea	9516.4689	11298.73298	10667.59649	10888.08947	11087.45706
PRY	Paraguay	54092.028	46875.59658	50027.503	50445.1164	50843.9542
PER	Peru	63708.119	64753.40777	71614.29402	73289.7029	74806.95674
PHL	Philippines	152332.054	223801.4026	159940.4528	163797.7877	167297.5497
POL	Poland	420981.528	405421.1598	426485.8684	422791.4682	414606.8923
PRT	Portugal	74433.765	75492.50343	71681.46844	71977.88701	72524.21851
PRI	Puerto Rico	3067.96985	3119.069383	3199.245683	3247.520001	3293.25488
QAT	Qatar	83149.36557	86227.81467	98391.53385	100891.3234	103155.1207
ROU	Romania	136834.935	119648.2095	117930.698	126194.4156	121762.2251
RUS	Russian Federation	2995286.6	2562920.978	2603289.63	2777724.31	2803398.488
RWA	Rwanda	5183.7427	5967.061926	6547.474913	6620.246701	6689.948897
WSM	Samoa	330.23679	330.7081498	340.9776821	348.8821924	356.08696
STP	Sao Tome and Principe	175.963732	177.0241268	185.4516318	190.7363006	195.4869613
SAU	Saudi Arabia	446765.124	471266.3266	495438.1527	514967.2626	549111.583
SEN	Senegal	51876.505	47324.75514	53407.57105	53810.04589	54185.37188
SYC	Seychelles	806.416085	805.9422307	854.0721844	883.831427	910.2873583
SLE	Sierra Leone	33083.703	17509.10384	11647.49051	11731.16616	11810.88702
SGP	Singapore	50059.9548	49828.21529	52731.99882	54413.55401	55910.2813
SVK	Slovak Republic	49160.98894	46722.85803	49973.282	48551.74999	46301.27397
SVN	Slovenia	23252.2604	21453.1576	21893.6609	21513.47647	21074.74834
SLB	Solomon Islands	4411.7304	4419.517056	4479.829996	4536.577382	4591.464527
SOM	Somalia	21450.946	21130.62112	21461.80546	21690.26568	21916.32322
ZAF	South Africa	493215.924	468413.4892	456538.4923	451483.8208	450615.7809
ESP	Spain	404869.429	372822.5154	354618.0226	353857.3861	348257.2922
LKA	Sri Lanka	27954.9991	27826.55513	29131.29052	29822.77899	30451.82631
KNA	St. Kitts and Nevis	176.179606	176.6186455	184.4403404	189.7802526	194.5675441
LCA	St. Lucia	533.67247	534.3558547	563.9158825	582.3357544	598.7659176
VCT	St. Vincent and the Grenadines	284.790058	286.2728902	301.5628538	310.8836557	319.2180852
SDN	Sudan	572341.41	559206.0707	487562.7337	489798.2133	491982.2665
SUR	Suriname	3262.83885	3125.748165	2532.293925	2598.261218	2657.877624
SWZ	Swaziland	3255.8421	3032.491664	3378.339014	3430.02475	3478.034532
SWE	Sweden	69993.2847	65034.06712	71434.70981	68780.33045	65767.78706
CHE	Switzerland	56634.8927	55245.97387	57154.18273	53066.86686	54108.09751
SYR	Syrian Arab Republic	70097.5424	69995.65796	73021.03502	75181.26226	77118.71186
TJK	Tajikistan	14274.5997	14128.87829	14727.20554	15285.81981	15364.57529
TZA	Tanzania	201404.515	231456.2505	234147.1609	234762.0296	235353.1169
THA	Thailand	357708.275	363782.1054	421227.831	431312.3099	440411.679
TLS	Timor-Leste	912.7317	925.4152962	940.4596433	949.9068394	959.3474036
TGO	Togo	27174.075	23856.09317	22578.11968	22760.63862	22931.85549
TON	Tonga	147.585116	147.5528478	151.934446	155.2905996	158.3607977
TTO	Trinidad and Tobago	54553.4709	54882.34073	58068.7624	59776.58342	61308.52535
TUN	Tunisia	35101.99196	35556.61165	37649.97347	38741.13524	39721.00885
TUR	Turkey	399181.904	404636.7231	422721.8742	434798.4612	445640.0784
TKM	Turkmenistan	91468.9779	80016.14002	87379.66852	88648.71773	92178.07491
TCA	Turks and Caicos Islands	16.9567206	17.26545713	18.25812301	18.74524966	19.1849645
TUV	Tuvalu	5.0625602	5.068207888	5.109678415	5.175981234	5.239916769
UGA	Uganda	89206.67	52830.34741	79906.21027	80318.96825	80725.08492
UKR	Ukraine	436817.125	367349.7078	393092.0594	410067.3131	404900.3049
ARE	United Arab Emirates	181388.5363	182422.1692	193127.1576	199342.5226	204888.719
GBR	United Kingdom	635417.1726	584940.8797	609586.561	568061.8289	585779.7833
USA	United States	6648991.2	6604068.952	6713348.969	6571653.977	6343840.508
URY	Uruguay	34052.25	33509.67597	33285.19663	33773.77084	34237.82952
UZB	Uzbekistan	183949.988	173966.2187	172722.6657	180734.9456	177223.751
VUT	Vanuatu	448.64291	426.8586986	433.7658416	440.1527321	446.2205969
VEN	"Venezuela, RB"	271197.403	265790.1026	268746.1951	275683.7638	281921.3686
VNM	Vietnam	255549.534	266081.8482	278994.36	285091.0557	310664.0693
VIR	Virgin Islands (U.S.)	53.838381	56.6375496	60.21220771	60.855713	61.49277573
YEM	"Yemen, Rep."	36800.226	37027.20395	38865.29243	39949.08216	40924.62769
ZMB	Zambia	321163.519	266118.4836	319784.6304	320024.697	320254.2183
ZWE	Zimbabwe	68840.706	67914.13101	71019.11673	71561.95225	72057.80332
